Type,Name,Language/Software,Packages,Tags,Author,Created,Status,Score/5,URL,Source,Minutes,Finish Date,Start Date,Hours,Notes?,Linked Up?,Related to Coding Course Notes (Property)
Course,Cleaning Data in Python,Python,,,,"February 23, 2022 11:22 PM",Not Started,,,DataCamp,240,,"February 24, 2022",4,No,No,
Course,Intermediate Importing Data in Python,Python,"BeautifulSoup, Tweepy, json, request","#66DaysofData, APIs, Importing Data, Python, Round1",,"February 23, 2022 12:18 AM",Finished,⭐️⭐️⭐️,,DataCamp,180,"February 23, 2022","February 23, 2022",3,No,No,
Video,Tableau Data Analyst Certification Review - 12.8 mins,Tableau,,"#66DaysofData, Career, Round1, Tableau",Alex the Analyst,"February 23, 2022 12:06 AM",Finished,,https://www.youtube.com/watch?v=4A8LV6fObYA&t=626s,YouTube,12.8,"February 22, 2022","February 22, 2022",0.213333333333,No,No,
Video,How to learn Tableau in 2022: Full platform guide for all roles. - 31.65 mins,Tableau,,"#66DaysofData, Round1, Tableau",Tableau Tim,"February 22, 2022 5:47 PM",Finished,⭐️⭐️⭐️⭐️,https://www.youtube.com/watch?v=ayc6AjOuQb0&t=1104s,YouTube,31.65,"February 22, 2022","February 17, 2022",0.5275,No,No,
Article,8 Ways to Filter Pandas Dataframes | by Soner Yıldırım | Towards Data Science 15 mins,Python,pandas,"#66DaysofData, Data Analysis, Exploratory Data Analysis, Round1",Towards Data Science,"February 11, 2022 11:45 PM",Finished,,https://towardsdatascience.com/8-ways-to-filter-pandas-dataframes-d34ba585c1b8,Medium,20,"February 12, 2022","February 12, 2022",0.333333333333,No,No,
Article,Create Maps that Show Ratio or Aggregated Data in Tableau - 5 mins,Tableau,,"#66DaysofData, Data Visualization, Round1",,"February 11, 2022 8:35 PM",Finished,,https://help.tableau.com/current/pro/desktop/en-us/maps_howto_choropleth.htm,,5,"February 11, 2022","February 11, 2022",0.083333333333,No,No,
Video,Tableau animation in five minutes - 5.1 mins,Tableau,,"#66DaysofData, Data Visualization, Round1",,"February 11, 2022 7:47 PM",Finished,,https://www.youtube.com/watch?v=b9AWjOtWQSM,YouTube,5.1,"February 11, 2022","February 11, 2022",0.085,No,No,
Video,How To Make An Animated Map In Tableau (Tutorial) - 6.8 mins,Tableau,,"#66DaysofData, Data Visualization, Round1",,"February 11, 2022 7:46 PM",Finished,,https://www.youtube.com/watch?v=7-sVGqwJyQ8&t=313s,YouTube,6.8,"February 11, 2022","February 11, 2022",0.113333333333,No,No,
,EDA Project cheat sheet,Python,,,,"February 10, 2022 8:52 PM",,,,,,,,0,No,No,
Video,Data Analysis on a Kaggle's Dataset - 29.9 mins,Python,pandas,"#66DaysofData, Data Analysis, Exploratory Data Analysis, Round1",,"February 9, 2022 8:47 PM",Finished,,https://www.youtube.com/watch?v=exqjWW3_BTY,YouTube,29.9,"February 10, 2022","February 10, 2022",0.498333333333,No,No,
